"GEOID","NAME","B02001_001E","B02001_001M","B02001_003E","B02001_003M","B19013_001E","B19013_001M"
"2804230","Tate County School District",18244,507,4873,504,45265,3646
"2804080","South Pike School District",11692,597,6485,517,28605,4630
"2804110","South Tippah School District",14854,643,3075,297,41007,3240
"2804170","Stone County School District",17981,NA,3463,193,46283,5271
"2804260","Tishomingo County Schools",19476,NA,488,96,36672,2553
"2804290","Tunica County School District",10276,NA,8066,159,32052,3757
"2804320","Tupelo Public School District",40218,585,14477,630,46996,4023
"2804350","Union County School District",16487,520,1811,397,39446,5274
"2802100","Itawamba County School District",23439,NA,1801,123,38358,2777
"2804380","Union Public School District",3861,363,963,263,35720,6256
"2804440","Walthall County School District",14670,NA,6713,115,31077,4182
"2802040","Humphreys County School District",8678,NA,6556,28,26188,2118
"2802190","Jackson Public School District",165942,720,135238,1269,34795,1227
"2802220","Jefferson County School District",7463,NA,6448,52,21779,6779
"2802250","Jefferson Davis County School District",11639,NA,7175,50,26736,4734
"2802280","Jones County School District",50257,249,7956,633,43135,2592
"2802310","Kemper County School District",10082,NA,6078,158,27016,3197
"2802340","Kosciusko School District",11210,440,5218,392,33947,3009
"2802370","Lafayette County School District",15676,793,3253,539,54148,5784
"2802490","Lawrence County School District",12659,NA,4205,69,40432,3627
"2802400","Lamar County School District",54592,622,9470,499,60706,3992
"2802430","Lauderdale County School District",39008,54,9857,664,49539,3119
"2802460","Laurel School District",18071,249,11875,611,29145,3058
"2802520","Leake County School District",22936,NA,9719,160,35578,2525
"2802550","Lee County School District",39246,748,8752,692,45920,2265
"2802580","Leflore County School District",14644,260,11381,422,23536,3582
"2802610","Leland School District",5439,327,3041,251,34441,4994
"2802640","Lincoln County School District",16197,673,2760,458,41190,7723
"2802670","Long Beach School District",16627,312,1383,443,51442,4391
"2802790","Madison County School District",79410,1076,23538,995,76567,3752
"2802700","Louisville Municipal School District",18482,NA,8742,72,33313,2589
"2802730","Lowndes County School District",28073,968,8413,806,55780,3938
"2802760","Lumberton Public School District",5217,725,1204,245,34860,4467
"2802820","Marion County School District",14022,886,3908,552,31229,3512
"2802850","Marshall County School District",23863,920,8308,914,43189,4508
"2802880","McComb School District",17579,566,11337,534,29545,2618
"2802910","Meridian Public School District",39213,54,23661,685,31664,2165
"2802940","Monroe County School District",13068,579,1018,260,47523,3994
"2802970","Montgomery County School District",5283,204,2099,307,36223,4864
"2800185","West Bolivar Consolidated School District",7455,476,5611,378,22896,3237
"2800186","North Bolivar Consolidated School District",5656,370,5308,361,22371,2394
"2800187","Sunflower County Consolidated School District",26915,NA,19911,118,28556,2587
"2800189","Starkville Oktibbeha Consolidated School District",49392,NA,18328,169,37348,2573
"2800191","West Point Consolidated School District",19990,NA,11799,199,34118,4893
"2803480","Pascagoula-Gautier School District",39450,421,13374,953,42378,2598
"2804500","Water Valley School District",6764,552,2095,341,37554,4181
"2804530","Wayne County School District",20458,NA,8289,220,35215,4541
"2804560","Webster County School District",9868,NA,1893,75,35634,7532
"2804470","Vicksburg Warren School District",47510,NA,23850,189,41635,2441
"2804590","West Jasper School District",10098,504,4527,454,37272,4677
"2804650","West Tallahatchie School",7808,496,3754,401,28117,2982
"2804680","Western Line School District",10366,605,4864,509,34842,4578
"2804710","Wilkinson County School District",9084,NA,6477,69,23340,3447
"2804740","Winona Separate School District",5026,204,2243,253,33105,13474
"2804770","Yazoo City Municipal School District",11189,23,9313,414,20758,2299
"2804800","Yazoo County School District",16307,23,6359,347,40399,3409
"2800450","Amory School District",10530,650,2739,485,37639,7022
"2800510","Attala County School District",7521,440,2809,358,33650,2318
"2800360","Aberdeen School District",9634,509,5800,491,35485,6812
"2800390","Alcorn School District",22322,127,824,281,41490,3065
"2800420","Amite County School District",12574,NA,5277,56,30129,3714
"2800630","Biloxi Public School District",38598,742,9298,840,42918,3282
"2800540","Baldwyn School District",4964,630,1713,276,35696,7439
"2800570","Bay St. Louis School District",17326,390,2391,493,43935,5614
"2800600","Benton County School District",8306,NA,3042,68,40605,5982
"2800750","Cleveland School District",20010,554,10357,480,33125,2630
"2800820","Booneville School District",6666,428,1438,385,28000,5034
"2800840","Brookhaven School District",18345,673,7881,455,34794,4119
"2800870","Calhoun County School District",14617,NA,3984,140,33370,2074
"2800900","Canton Public School District",22802,1076,15575,1021,46595,2563
"2800930","Carroll County School District",10221,NA,3424,160,43068,5973
"2800960","Chickasaw County School District",2764,390,962,277,31563,8084
"2800990","Choctaw County School District",8360,NA,2583,58,34542,2680
"2801020","Claiborne County School District",9106,NA,7915,65,24601,2695
"2801050","Clarksdale Municipal School District",16579,38,13475,237,29643,3882
"2801090","Clinton Public School District",29483,564,12944,819,57379,3156
"2801110","Coahoma County School District",7717,38,5281,219,26979,4035
"2801140","Coffeeville School District",5662,552,2893,368,37852,7987
"2801170","Columbia School District",11444,886,4275,510,30767,3891
"2801200","Columbus Municipal School District",31485,968,17512,779,37123,2083
"2801220","Copiah County School District",18250,771,8171,643,39243,4071
"2801260","Corinth School District",14920,127,3550,373,35127,5343
"2801290","Covington County School District",19172,NA,6918,210,36471,3535
"2801320","DeSoto County School District",173267,NA,43980,392,62595,1212
"2801360","Durant Public School District",2846,365,2466,326,20655,2412
"2801380","East Jasper Consolidated School District",6449,504,4420,426,31913,5130
"2801410","East Tallahatchie Consolidated School District",6744,496,3118,386,31175,3184
"2801440","Enterprise School District",4101,561,301,161,51563,9160
"2801470","Forest Municipal School District",9694,705,3953,482,33539,7908
"2801490","Forrest County Schools",19581,964,5380,669,43044,4159
"2801530","Franklin County School District",7772,NA,2795,58,42388,6189
"2801560","George County School District",23545,NA,1818,247,47640,5397
"2801590","Greene County School District",13801,NA,3531,123,48029,7215
"2801620","Greenville Public School District",28991,426,23987,477,26552,1975
"2801650","Greenwood Public School District",15469,260,10672,462,26162,2477
"2801680","Grenada School District",21379,NA,9250,180,34876,2457
"2801710","Gulfport School District",37616,1081,13979,1007,35219,1897
"2801740","Hancock County School District",28716,418,1619,452,50295,4433
"2801770","Harrison County School District",96626,1292,21489,1343,48332,1969
"2801800","Hattiesburg Public School District",38805,806,21637,812,30958,2393
"2801830","Hazlehurst City School District",10498,771,6744,661,36934,2940
"2801860","Hinds County School District",47824,906,26708,1085,57868,3754
"2801890","Hollandale School District",3394,364,2697,355,26210,3723
"2801950","Holly Springs School District",12118,920,8842,847,36721,5542
"2803000","Moss Point School District",20690,834,10488,491,41018,1950
"2801980","Holmes County School District",15421,365,12730,336,20244,1596
"2802010","Houston School District",9080,653,3055,491,34203,3876
"2802160","Jackson County School District",50607,1355,4912,854,55452,4559
"2803030","Natchez-Adams School District",31583,NA,16798,368,30359,1438
"2803060","Neshoba County School District",21642,380,2935,367,37978,3025
"2803090","Nettleton School District",5501,625,1599,434,37081,5211
"2803120","New Albany Public Schools",11715,520,2385,377,40558,4047
"2803150","Newton County School District",12125,535,1789,323,40559,5174
"2803180","Newton Municipal School",6614,464,3750,396,31363,3224
"2803210","North Panola School District",12008,804,7735,815,31805,1629
"2803240","North Pike School District",10492,677,3372,569,42917,10005
"2803270","North Tippah School District",7139,643,659,242,34408,7320
"2803300","Noxubee County School District",10942,NA,7887,76,30808,6604
"2803450","Oxford School District",37068,793,9326,540,41918,3211
"2803360","Ocean Springs School District",30567,1385,2529,746,59836,7881
"2803390","Okolona Separate School District",5916,778,3745,727,32574,5725
"2803510","Pass Christian Public School District",11024,818,2400,474,53538,9435
"2803520","Pearl Public School District",26468,42,6245,576,46090,3123
"2803530","Petal School District",20108,732,2316,411,56655,3254
"2803540","Pearl River County School District",18485,1426,577,254,58555,6373
"2803570","Perry County Schools",8392,407,1681,202,40288,4179
"2803600","Philadelphia Public School District",6632,310,3141,363,35262,6030
"2803630","Picayune School District",22982,1299,5132,354,40885,2527
"2803660","Pontotoc County Schools",18703,632,2101,468,40554,3364
"2803690","Pontotoc City Schools",12372,632,2641,510,43610,4425
"2803720","Poplarville Separate School District",11866,818,1384,287,41505,3613
"2803750","Prentiss County School District",15914,579,940,262,34848,7249
"2803780","Quitman School District",11988,561,5349,208,32421,3500
"2803810","Quitman County School District",7537,NA,5351,28,25671,2217
"2803830","Rankin County School District",123177,42,23720,602,67104,2999
"2803870","Richton School District",3655,407,699,179,30130,4888
"2803900","Scott County School District",18705,705,6977,463,33618,2223
"2803930","Senatobia Municipal School District",10089,507,3638,446,51578,9660
"2803960","South Delta School District",5739,71,4094,67,28644,3373
"2803990","Simpson County School District",27215,NA,9944,246,37591,2878
"2804020","Smith County School District",16114,NA,3809,44,37697,4413
"2804050","South Panola School District",22221,804,9523,761,38643,2679
