District,2014,2015,2016,2017,2018
Aberdeen School District,485,435,533,524,544
Alcorn School District,598,545,639,643,637
Amite County School District,501,499,439,491,456
Amory School District,610,648,570,657,664
Attala County School District,496,485,551,530,587
Baldwyn School District,517,597,619,661,601
Bay St. Louis School District,630,559,622,640,598
Benton County School District,533,535,552,600,557
Biloxi Public School District,587,615,671,685,710
Booneville School District,648,655,676,705,709
Brookhaven School District,535,435,547,536,544
Calhoun County School District,548,478,572,586,585
Canton Public School District,504,356,449,496,506
Carroll County School District,546,479,495,531,526
Chickasaw County School District,581,516,501,477,594
Choctaw County School District,608,567,573,587,590
Claiborne County School District,568,374,427,481,530
Clarksdale Municipal School District,E,E,447,488,425
Cleveland School District,528,468,523,510,550
Clinton Public School District,701,573,672,689,711
Coahoma County School District,495,428,430,479,450
Coffeeville School District,482,505,481,530,510
Columbia School District,E,E,589,587,603
Columbus Municipal School District,485,368,496,489,516
Copiah County School District,550,402,524,541,545
Corinth School District,E,E,,,555
Covington County School District,532,441,536,516,533
DeSoto County School District,560,636,678,683,672
Durant Public School District,516,367,473,491,481
East Jasper Consolidated School District,564,518,473,540,520
East Tallahatchie Consolidated School District,525,426,473,510,473
Enterprise School District,679,584,675,701,761
Forest Municipal School District,497,448,537,516,495
Forrest County Schools,564,555,609,605,596
Franklin County School District,580,509,597,583,633
George County School District,548,568,607,614,648
Greene County School District,603,581,610,599,615
Greenville Public School District,479,413,440,463,499
Greenwood Public School District,496,408,481,534,503
Grenada School District,514,626,568,621,648
Gulfport School District,E,E,666,661,641
Hancock County School District,639,520,640,599,622
Harrison County School District,605,582,612,642,664
Hattiesburg Public School District,521,441,482,517,499
Hazlehurst City School District,463,347,519,470,475
Hinds County School District,578,485,563,563,589
Hollandale School District,564,446,516,570,539
Holly Springs School District,544,467,555,561,511
Holmes County School District,503,386,453,462,476
Houston School District,564,524,546,613,635
Humphreys County School District,440,468,432,430,444
Itawamba County School District,610,585,614,631,608
Jackson County School District,605,576,689,650,661
Jackson Public School District,495,431,448,444,456
Jefferson County School District,522,408,314,528,447
Jefferson Davis County School District,543,452,470,549,514
Jones County School District,582,517,605,611,626
Kemper County School District,496,473,440,476,515
Kosciusko School District,614,543,573,608,602
Lafayette County School District,568,611,644,659,687
Lamar County School District,E,E,664,688,698
Lauderdale County School District,573,572,620,608,620
Laurel School District,476,375,497,497,485
Lawrence County School District,545,533,567,559,562
Leake County School District,539,409,492,535,506
Lee County School District,546,591,560,596,589
Leflore County School District,476,386,484,418,539
Leland School District,466,432,422,487,536
Lincoln County School District,595,531,559,591,597
Long Beach School District,637,561,744,669,691
Louisville Municipal School District,529,465,550,575,597
Lowndes County School District,607,578,609,634,660
Lumberton Public School District,552,505,484,505,555
Madison County School District,649,623,677,685,679
Marion County School District,511,495,590,595,573
Marshall County School District,555,450,536,537,544
McComb School District,535,408,500,472,494
Meridian Public School District,507,481,475,491,470
Monroe County School District,602,551,600,638,632
Montgomery County School District,474,553,378,468,522
Moss Point School District,479,429,465,493,515
Natchez-Adams School District,478,415,457,481,515
Neshoba County School District,617,455,603,585,633
Nettleton School District,548,523,587,566,611
New Albany Public Schools,603,558,649,644,628
Newton County School District,596,568,640,668,651
Newton Municipal School,499,411,489,559,551
North Bolivar Consolidated School District,487,477,509,489,445
North Panola School District,504,519,466,494,544
North Pike School District,605,537,549,567,615
North Tippah School District,568,447,558,581,671
Noxubee County School District,512,469,407,453,451
Ocean Springs School District,616,621,707,690,723
Okolona Separate School District,490,500,463,507,571
Oxford School District,635,603,745,705,718
Pascagoula-Gautier School District,551,566,609,608,616
Pass Christian Public School District,646,604,678,665,685
Pearl Public School District,585,600,643,673,653
Pearl River County School District,611,529,622,620,653
Perry County Schools,494,480,530,540,504
Petal School District,603,712,687,734,750
Philadelphia Public School District,512,462,529,576,475
Picayune School District,525,515,598,556,593
Pontotoc City Schools,605,501,647,638,671
Pontotoc County Schools,614,542,611,604,603
Poplarville Separate School District,619,522,604,686,641
Prentiss County School District,631,554,660,623,667
Quitman County School District,511,537,436,514,569
Quitman School District,569,433,521,515,524
Rankin County School District,628,576,684,666,690
Richton School District,599,505,586,624,619
Scott County School District,574,431,591,578,578
Senatobia Municipal School District,567,521,614,529,606
Simpson County School District,525,505,525,526,511
Smith County School District,576,558,570,586,603
South Delta School District,510,425,472,540,484
South Panola School District,603,489,508,563,625
South Pike School District,553,437,518,509,488
South Tippah School District,542,515,600,617,599
Starkville Oktibbeha Consolidated School District,553,467,545,559,598
Stone County School District,546,557,625,635,636
Sunflower County Consolidated School District,461,381,472,463,471
Tate County School District,552,462,564,542,587
Tishomingo County Schools,603,578,611,618,669
Tunica County School District,455,398,536,486,559
Tupelo Public School District,618,574,636,638,646
Union County School District,652,651,652,670,693
Union Public School District,653,586,681,646,644
Vicksburg Warren School District,514,428,499,502,500
Walthall County School District,487,423,515,519,499
Water Valley School District,480,537,580,552,565
Wayne County School District,499,501,569,519,534
Webster County School District,647,564,609,627,643
West Bolivar Consolidated School District,526,477,474,524,418
West Jasper School District,579,532,555,643,629
West Point Consolidated School District,532,491,513,553,571
West Tallahatchie School,533,487,464,524,506
Western Line School District,606,506,478,564,551
Wilkinson County School District,544,424,437,462,502
Winona Separate School District,567,567,521,593,614
Yazoo City Municipal School District,434,416,463,486,425
Yazoo County School District,525,458,522,524,539
