"District","Consolidated","GEOID","Total","Total MOE","Black or AA","Black or AA MOE","Median Income","Median Income MOE","Percent Black","2014","2015","2016","2017","2018"
"Aberdeen School District",0,2800360,9634,509,5800,491,35485,6812,0.6,"485","435",533,524,544
"Alcorn School District",0,2800390,22322,127,824,281,41490,3065,0.037,"598","545",639,643,637
"Amite County School District",0,2800420,12574,NA,5277,56,30129,3714,0.42,"501","499",439,491,456
"Amory School District",0,2800450,10530,650,2739,485,37639,7022,0.26,"610","648",570,657,664
"Attala County School District",0,2800510,7521,440,2809,358,33650,2318,0.37,"496","485",551,530,587
"Baldwyn School District",0,2800540,4964,630,1713,276,35696,7439,0.35,"517","597",619,661,601
"Bay St. Louis School District",0,2800570,17326,390,2391,493,43935,5614,0.14,"630","559",622,640,598
"Benton County School District",0,2800600,8306,NA,3042,68,40605,5982,0.37,"533","535",552,600,557
"Biloxi Public School District",0,2800630,38598,742,9298,840,42918,3282,0.24,"587","615",671,685,710
"Booneville School District",0,2800820,6666,428,1438,385,28000,5034,0.22,"648","655",676,705,709
"Brookhaven School District",0,2800840,18345,673,7881,455,34794,4119,0.43,"535","435",547,536,544
"Calhoun County School District",0,2800870,14617,NA,3984,140,33370,2074,0.27,"548","478",572,586,585
"Canton Public School District",0,2800900,22802,1076,15575,1021,46595,2563,0.68,"504","356",449,496,506
"Carroll County School District",0,2800930,10221,NA,3424,160,43068,5973,0.33,"546","479",495,531,526
"Chickasaw County School District",0,2800960,2764,390,962,277,31563,8084,0.35,"581","516",501,477,594
"Choctaw County School District",0,2800990,8360,NA,2583,58,34542,2680,0.31,"608","567",573,587,590
"Claiborne County School District",0,2801020,9106,NA,7915,65,24601,2695,0.87,"568","374",427,481,530
"Clarksdale Municipal School District",0,2801050,16579,38,13475,237,29643,3882,0.81,"E","E",447,488,425
"Cleveland School District",0,2800750,20010,554,10357,480,33125,2630,0.52,"528","468",523,510,550
"Clinton Public School District",0,2801090,29483,564,12944,819,57379,3156,0.44,"701","573",672,689,711
"Coahoma County School District",0,2801110,7717,38,5281,219,26979,4035,0.68,"495","428",430,479,450
"Coffeeville School District",0,2801140,5662,552,2893,368,37852,7987,0.51,"482","505",481,530,510
"Columbia School District",0,2801170,11444,886,4275,510,30767,3891,0.37,"E","E",589,587,603
"Columbus Municipal School District",0,2801200,31485,968,17512,779,37123,2083,0.56,"485","368",496,489,516
"Copiah County School District",0,2801220,18250,771,8171,643,39243,4071,0.45,"550","402",524,541,545
"Corinth School District",0,2801260,14920,127,3550,373,35127,5343,0.24,"E","E",NA,NA,555
"Covington County School District",0,2801290,19172,NA,6918,210,36471,3535,0.36,"532","441",536,516,533
"DeSoto County School District",0,2801320,173267,NA,43980,392,62595,1212,0.25,"560","636",678,683,672
"Durant Public School District",0,2801360,2846,365,2466,326,20655,2412,0.87,"516","367",473,491,481
"East Jasper Consolidated School District",1,2801380,6449,504,4420,426,31913,5130,0.69,"564","518",473,540,520
"East Tallahatchie Consolidated School District",1,2801410,6744,496,3118,386,31175,3184,0.46,"525","426",473,510,473
"Enterprise School District",0,2801440,4101,561,301,161,51563,9160,0.073,"679","584",675,701,761
"Forest Municipal School District",0,2801470,9694,705,3953,482,33539,7908,0.41,"497","448",537,516,495
"Forrest County Schools",0,2801490,19581,964,5380,669,43044,4159,0.27,"564","555",609,605,596
"Franklin County School District",0,2801530,7772,NA,2795,58,42388,6189,0.36,"580","509",597,583,633
"George County School District",0,2801560,23545,NA,1818,247,47640,5397,0.077,"548","568",607,614,648
"Greene County School District",0,2801590,13801,NA,3531,123,48029,7215,0.26,"603","581",610,599,615
"Greenville Public School District",0,2801620,28991,426,23987,477,26552,1975,0.83,"479","413",440,463,499
"Greenwood Public School District",0,2801650,15469,260,10672,462,26162,2477,0.69,"496","408",481,534,503
"Grenada School District",0,2801680,21379,NA,9250,180,34876,2457,0.43,"514","626",568,621,648
"Gulfport School District",0,2801710,37616,1081,13979,1007,35219,1897,0.37,"E","E",666,661,641
"Hancock County School District",0,2801740,28716,418,1619,452,50295,4433,0.056,"639","520",640,599,622
"Harrison County School District",0,2801770,96626,1292,21489,1343,48332,1969,0.22,"605","582",612,642,664
