"GEOID","NAME","B02001_001E","B02001_001M","B02001_003E","B02001_003M"
"28045","Hancock County, Mississippi",46277,NA,4010,280
"28125","Sharkey County, Mississippi",4631,192,3350,205
"28139","Tippah County, Mississippi",21993,NA,3734,173
"28019","Choctaw County, Mississippi",8360,NA,2583,58
"28035","Forrest County, Mississippi",75835,NA,27930,384
"28057","Itawamba County, Mississippi",23439,NA,1801,123
"28071","Lafayette County, Mississippi",52744,NA,12579,195
"28055","Issaquena County, Mississippi",1296,192,841,207
"28059","Jackson County, Mississippi",141314,NA,31303,507
"28087","Lowndes County, Mississippi",59558,NA,25925,210
"28083","Leflore County, Mississippi",30113,NA,22053,217
"28143","Tunica County, Mississippi",10276,NA,8066,159
"28157","Wilkinson County, Mississippi",9084,NA,6477,69
"28021","Claiborne County, Mississippi",9106,NA,7915,65
"28047","Harrison County, Mississippi",200491,NA,48549,638
"28065","Jefferson Davis County, Mississippi",11639,NA,7175,50
"28127","Simpson County, Mississippi",27215,NA,9944,246
"28075","Lauderdale County, Mississippi",78221,NA,33518,283
"28085","Lincoln County, Mississippi",34542,NA,10641,340
"28123","Scott County, Mississippi",28399,NA,10930,164
"28159","Winston County, Mississippi",18482,NA,8742,72
"28163","Yazoo County, Mississippi",27496,NA,15672,373
"28007","Attala County, Mississippi",18731,NA,8027,169
"28009","Benton County, Mississippi",8306,NA,3042,68
"28037","Franklin County, Mississippi",7772,NA,2795,58
"28027","Coahoma County, Mississippi",24296,NA,18756,100
"28061","Jasper County, Mississippi",16547,NA,8947,118
"28067","Jones County, Mississippi",68328,NA,19831,198
"28147","Walthall County, Mississippi",14670,NA,6713,115
"28095","Monroe County, Mississippi",35967,NA,10846,304
"28115","Pontotoc County, Mississippi",31075,NA,4742,358
"28133","Sunflower County, Mississippi",26915,NA,19911,118
"28155","Webster County, Mississippi",9868,NA,1893,75
"28003","Alcorn County, Mississippi",37242,NA,4374,254
"28001","Adams County, Mississippi",31583,NA,16798,368
"28025","Clay County, Mississippi",19990,NA,11799,199
"28033","DeSoto County, Mississippi",173267,NA,43980,392
"28031","Covington County, Mississippi",19172,NA,6918,210
"28053","Humphreys County, Mississippi",8678,NA,6556,28
"28013","Calhoun County, Mississippi",14617,NA,3984,140
"28051","Holmes County, Mississippi",18267,NA,15196,153
"28005","Amite County, Mississippi",12574,NA,5277,56
"28089","Madison County, Mississippi",102212,NA,39113,177
"28091","Marion County, Mississippi",25466,NA,8183,235
"28141","Tishomingo County, Mississippi",19476,NA,488,96
"28153","Wayne County, Mississippi",20458,NA,8289,220
"28041","Greene County, Mississippi",13801,NA,3531,123
"28093","Marshall County, Mississippi",35981,NA,17150,245
"28119","Quitman County, Mississippi",7537,NA,5351,28
"28011","Bolivar County, Mississippi",33121,NA,21276,116
"28073","Lamar County, Mississippi",60517,NA,12076,244
"28081","Lee County, Mississippi",84840,NA,24499,267
"28113","Pike County, Mississippi",39763,NA,21194,97
"28135","Tallahatchie County, Mississippi",14552,NA,6872,324
"28129","Smith County, Mississippi",16114,NA,3809,44
"28131","Stone County, Mississippi",17981,NA,3463,193
"28149","Warren County, Mississippi",47510,NA,23850,189
"28023","Clarke County, Mississippi",16089,NA,5650,136
"28069","Kemper County, Mississippi",10082,NA,6078,158
"28097","Montgomery County, Mississippi",10309,NA,4342,292
"28105","Oktibbeha County, Mississippi",49392,NA,18328,169
"28099","Neshoba County, Mississippi",29437,NA,6152,179
"28109","Pearl River County, Mississippi",55049,NA,7094,120
"28079","Leake County, Mississippi",22936,NA,9719,160
"28103","Noxubee County, Mississippi",10942,NA,7887,76
"28121","Rankin County, Mississippi",149645,NA,29965,329
"28137","Tate County, Mississippi",28333,NA,8511,346
"28151","Washington County, Mississippi",48002,NA,34492,116
"28077","Lawrence County, Mississippi",12659,NA,4205,69
"28107","Panola County, Mississippi",34229,NA,17258,242
"28111","Perry County, Mississippi",12047,NA,2380,71
"28161","Yalobusha County, Mississippi",12426,NA,4988,96
"28017","Chickasaw County, Mississippi",17305,NA,7492,177
"28015","Carroll County, Mississippi",10221,NA,3424,160
"28029","Copiah County, Mississippi",28748,NA,14915,144
"28039","George County, Mississippi",23545,NA,1818,247
"28043","Grenada County, Mississippi",21379,NA,9250,180
"28049","Hinds County, Mississippi",243249,NA,174890,463
"28063","Jefferson County, Mississippi",7463,NA,6448,52
"28101","Newton County, Mississippi",21437,NA,6426,139
"28145","Union County, Mississippi",28202,NA,4196,215
"28117","Prentiss County, Mississippi",25389,NA,3401,231
