District name	City	County name
Aberdeen School Dist	Aberdeen	Monroe
Alcorn School Dist	Corinth	Alcorn
Amite Co School Dist	Liberty	Amite
Amory School Dist	Amory	Monroe
Attala Co School Dist	Kosciusko	Attala
Baldwyn School District	Baldwyn	Lee
Bay St Louis Waveland School Dist	Bay St Louis	Hancock
Benoit School District	Benoit	Bolivar
Benton Co School Dist	Ashland	Benton
Biloxi Public School Dist	Biloxi	Harrison
Bogue Chitto Elementary School	Philadelphia	Neshoba
Booneville School Dist	Booneville	Prentiss
Brookhaven School Dist	Brookhaven	Lincoln
Calhoun Co School Dist	Pittsboro	Calhoun
Canton Public School Dist	Canton	Madison
Carroll County School Dist	Carrollton	Carroll
Chickasaw Co School Dist	Houlka	Chickasaw
Choctaw Central High School	Choctaw	Neshoba
Choctaw Central Middle School	Choctaw	Neshoba
Choctaw Co School Dist	Ackerman	Choctaw
Claiborne Co School Dist	Port Gibson	Claiborne
Clarksdale Municipal School Dist	Clarksdale	Coahoma
Clay Co School Dist	West Point	Clay
Cleveland School Dist	Cleveland	Bolivar
Clinton Public School Dist	Clinton	Hinds
Coahoma Ahs School District	Clarksdale	Coahoma
Coahoma County School District	Clarksdale	Coahoma
Coffeeville School Dist	Coffeeville	Yalobusha
Columbia School District	Columbia	Marion
Columbus Municipal School Dist	Columbus	Lowndes
Conehatta Elementary School	Conehatta	Newton
Copiah Co School Dist	Hazlehurst	Copiah
Corinth School Dist	Corinth	Alcorn
Covington Co Schools	Collins	Covington
Desoto Co School Dist	Hernando	Desoto
Drew School Dist	Drew	Sunflower
Durant Public School Dist	Durant	Holmes
East Jasper Consolidated School Dist	Heidelberg	Jasper
East Tallahatchie Consol School Dist	Charleston	Tallahatchie
Ellisville State School Adm	Ellisville	Jones
Enterprise School Dist	Enterprise	Clarke
Forest Municipal School Dist	Forest	Scott
Forrest County Ag High School	Brooklyn	Forrest
Forrest County School District	Hattiesburg	Forrest
Franklin Co School Dist	Meadville	Franklin
George Co School Dist	Lucedale	George
Greene County School District	Leakesville	Greene
