District,2013,2014,2015,2016,2017,2018
Aberdeen School District,2,2,2,3,3,3
Alcorn School District,4,4,4,4,4,4
Amite County School District,2,2,4,1,2,1
Amory School District,5,5,5,3,4,4
Attala County School District,3,3,3,3,3,3
Baldwyn School District,3,3,3,4,4,4
Bay St. Louis School District,4,4,4,4,4,3
Benton County School District,3,3,3,3,4,3
Biloxi Public School District,5,5,5,4,5,5
Booneville School District,5,5,5,5,5,5
Brookhaven School District,2,2,2,3,3,3
Calhoun County School District,4,4,4,3,3,3
Canton Public School District,2,2,2,1,2,2
Carroll County School District,2,3,3,2,3,2
Chickasaw County School District,2,3,3,2,2,3
Choctaw County School District,4,4,4,3,3,3
Claiborne County School District,2,3,4,1,2,2
Clarksdale Municipal School District,2,,2,1,2,1
Cleveland School District,3,3,3,3,2,3
Clinton Public School District,5,5,5,5,5,5
Coahoma County School District,1,2,2,1,2,1
Coffeeville School District,3,3,3,2,3,2
Columbia School District,4,4,4,4,3,4
Columbus Municipal School District,2,2,2,2,2,2
Copiah County School District,2,3,3,3,3,3
Corinth School District,5,5,5,,,3
Covington County School District,3,3,3,3,2,2
DeSoto County School District,5,5,5,5,5,5
Durant Public School District,2,2,2,2,2,1
East Jasper Consolidated School District,2,3,3,2,3,2
East Tallahatchie Consolidated School District,3,3,3,2,2,1
Enterprise School District,5,5,5,5,5,5
Forest Municipal School District,3,3,3,3,2,2
Forrest County Schools,4,4,4,4,4,3
Franklin County School District,4,4,4,4,3,4
George County School District,4,4,4,4,4,4
Greene County School District,3,3,3,4,4,4
Greenville Public School District,2,2,2,1,1,2
Greenwood Public School District,2,2,2,2,3,2
Grenada School District,4,4,4,3,4,4
Gulfport School District,4,4,4,4,4,4
Hancock County School District,4,4,4,4,4,4
Harrison County School District,4,4,4,4,4,4
Hattiesburg Public School District,3,3,3,2,2,2
Hazlehurst City School District,2,2,2,2,2,1
Hinds County School District,3,3,3,3,3,3
Hollandale School District,3,3,3,2,3,3
Holly Springs School District,3,3,3,3,3,2
Holmes County School District,1,2,2,1,1,1
Houston School District,3,3,3,3,4,4
Humphreys County School District,2,2,2,1,1,1
Itawamba County School District,4,4,4,4,4,4
Jackson County School District,4,4,4,5,4,4
Jackson Public School District,2,2,2,1,1,1
Jefferson County School District,1,2,2,1,3,1
Jefferson Davis County School District,3,3,2,2,3,2
Jones County School District,4,4,4,4,4,4
Kemper County School District,3,3,3,1,2,2
Kosciusko School District,5,5,5,3,4,4
Lafayette County School District,4,4,4,4,4,5
Lamar County School District,5,5,5,4,5,5
Lauderdale County School District,4,4,4,4,4,4
Laurel School District,3,3,3,2,2,1
Lawrence County School District,3,3,3,3,3,3
Leake County School District,2,2,2,2,3,2
Lee County School District,3,3,3,3,4,3
Leflore County School District,1,2,2,2,1,3
Leland School District,3,3,3,1,2,3
Lincoln County School District,4,4,4,3,4,3
Long Beach School District,5,5,5,5,5,5
Louisville Municipal School District,3,3,3,3,3,3
Lowndes County School District,4,4,4,4,4,4
Lumberton Public School District,2,3,3,2,2,3
Madison County School District,5,5,5,5,5,5
Marion County School District,3,3,3,4,4,3
Marshall County School District,3,3,3,3,3,3
McComb School District,2,2,2,2,2,2
Meridian Public School District,2,2,2,2,2,1
Monroe County School District,4,4,4,4,4,4
Montgomery County School District,2,2,3,1,2,2
Moss Point School District,2,2,2,2,2,2
Natchez-Adams School District,1,2,2,1,2,2
